     TOTAL    	max      	mean     	median   	mode     	min      	
SepalLengthCm	7.9      	5.8433356	5.8      	5.0      	4.3      	
SepalWidthCm 	4.4      	3.0540001	3.0      	3.0      	2.0      	
PetalLengthCm	6.9      	3.7586665	4.4      	1.5      	1.0      	
PetalWidthCm 	2.5      	1.198667 	1.3      	0.2      	0.1      	
     SETOSA   	max      	mean     	median   	mode     	min      	
SepalLengthCm	5.8      	5.0060005	5.0      	5.0      	4.3      	
SepalWidthCm 	4.4      	3.418    	3.4      	3.4      	2.3      	
PetalLengthCm	1.9      	1.4639996	1.5      	1.5      	1.0      	
PetalWidthCm 	0.6      	0.24399994	0.2      	0.2      	0.1      	
 VERSICOLOUR 	max      	mean     	median   	mode     	min      	
SepalLengthCm	7.0      	5.9360003	5.95     	5.5      	4.9      	
SepalWidthCm 	3.4      	2.77     	2.8      	3.0      	2.0      	
PetalLengthCm	5.1      	4.26     	4.4      	4.5      	3.0      	
PetalWidthCm 	1.8      	1.3260001	1.3      	1.3      	1.0      	
  VIRGINICA   	max      	mean     	median   	mode     	min      	
SepalLengthCm	7.9      	6.5880003	6.5      	6.3      	4.9      	
SepalWidthCm 	3.8      	2.9739997	3.0      	3.0      	2.2      	
PetalLengthCm	6.9      	5.5520005	5.6      	5.1      	4.5      	
PetalWidthCm 	2.5      	2.0260003	2.0      	1.8      	1.4      	
     TOTAL    	max      	mean     	median   	mode     	min      	
SepalLengthCm	7.9      	5.8433356	5.8      	5.0      	4.3      	
SepalWidthCm 	4.4      	3.0540001	3.0      	3.0      	2.0      	
PetalLengthCm	6.9      	3.7586665	4.4      	1.5      	1.0      	
PetalWidthCm 	2.5      	1.198667 	1.3      	0.2      	0.1      	
     SETOSA   	max      	mean     	median   	mode     	min      	
SepalLengthCm	5.8      	5.0060005	5.0      	5.0      	4.3      	
SepalWidthCm 	4.4      	3.418    	3.4      	3.4      	2.3      	
PetalLengthCm	1.9      	1.4639996	1.5      	1.5      	1.0      	
PetalWidthCm 	0.6      	0.24399994	0.2      	0.2      	0.1      	
 VERSICOLOUR 	max      	mean     	median   	mode     	min      	
SepalLengthCm	7.0      	5.9360003	5.95     	5.5      	4.9      	
SepalWidthCm 	3.4      	2.77     	2.8      	3.0      	2.0      	
PetalLengthCm	5.1      	4.26     	4.4      	4.5      	3.0      	
PetalWidthCm 	1.8      	1.3260001	1.3      	1.3      	1.0      	
  VIRGINICA   	max      	mean     	median   	mode     	min      	
SepalLengthCm	7.9      	6.5880003	6.5      	6.3      	4.9      	
SepalWidthCm 	3.8      	2.9739997	3.0      	3.0      	2.2      	
PetalLengthCm	6.9      	5.5520005	5.6      	5.1      	4.5      	
PetalWidthCm 	2.5      	2.0260003	2.0      	1.8      	1.4      	
     TOTAL    	maximum  	mean     	median   	mode     	minimum  	
SepalLengthCm	7.9      	5.8433356	5.8      	5.0      	4.3      	
SepalWidthCm 	4.4      	3.0540001	3.0      	3.0      	2.0      	
PetalLengthCm	6.9      	3.7586665	4.4      	1.5      	1.0      	
PetalWidthCm 	2.5      	1.198667 	1.3      	0.2      	0.1      	
     SETOSA   	maximum  	mean     	median   	mode     	minimum  	
SepalLengthCm	5.8      	5.0060005	5.0      	5.0      	4.3      	
SepalWidthCm 	4.4      	3.418    	3.4      	3.4      	2.3      	
PetalLengthCm	1.9      	1.4639996	1.5      	1.5      	1.0      	
PetalWidthCm 	0.6      	0.24399994	0.2      	0.2      	0.1      	
 VERSICOLOUR 	maximum  	mean     	median   	mode     	minimum  	
SepalLengthCm	7.0      	5.9360003	5.95     	5.5      	4.9      	
SepalWidthCm 	3.4      	2.77     	2.8      	3.0      	2.0      	
PetalLengthCm	5.1      	4.26     	4.4      	4.5      	3.0      	
PetalWidthCm 	1.8      	1.3260001	1.3      	1.3      	1.0      	
  VIRGINICA   	maximum  	mean     	median   	mode     	minimum  	
SepalLengthCm	7.9      	6.5880003	6.5      	6.3      	4.9      	
SepalWidthCm 	3.8      	2.9739997	3.0      	3.0      	2.2      	
PetalLengthCm	6.9      	5.5520005	5.6      	5.1      	4.5      	
PetalWidthCm 	2.5      	2.0260003	2.0      	1.8      	1.4      	
